case_submitter_id	sample_submitter_id	rna_expression_file_id	ascat_cnv_file_id	caveman_vcf_file_id	pindel_vcf_file_id
C3N-03182	C3N-03182-02	f9e9f71b-ec2e-4d9f-8ef9-7b1d0db0950e	94e1bfb5-eaa2-4867-9108-0a3541c20924	3d001739-ad35-4925-b7c9-61bd03e7ee49	0a022f1a-d055-4bb2-a416-b14102fd6103
C3L-01237	C3L-01237-04	7b24d322-c8d8-487e-bfa1-9825e07874c9	e5962001-e412-47cb-814f-233c285cbbb9	ae8c519a-d016-4161-b478-43994c941a32	0a0969f3-a4ce-47f5-95df-4dcb11f051de
C3L-02625	C3L-02625-04	b40f823a-6abd-4e98-8cca-16d2544513d1	0a41f52c-a847-4bdf-b262-d6747cdd26d1	e188b95d-d9ec-4e79-8dea-8536222d7220	97c9b8ff-9ee6-4290-91a1-45277b9521bf
C3N-02925	C3N-02925-01	c047e420-16c1-411b-adbb-b831f623f0b9	0a495a17-a5be-4045-a241-6139151e0ff5	11219ccc-494e-497a-8db7-521261bdf2fc	d780f5f9-f49e-456a-bec1-54e57ea8d956
C3L-03968	C3L-03968-01	82e0699e-007f-4138-b763-9073f8de9cc4	0a98d077-d49c-440a-aa0c-a6433f6791d0	48060288-7273-4c7a-9522-b68eab7fa1ec	69f8ba99-52fe-4ea6-b7ec-142b523efc07
C3L-04014	C3L-04014-02	873771c7-b709-49cf-805f-817a2b091979	0acbee3e-c103-48ee-98a9-72e6fc72a357	69fc105a-a709-4e56-bc53-8c300d334e77	50b3e815-345c-4dd2-8acc-7a43489aea48
C3L-00561	C3L-00561-01	6bbb2da9-1ed4-4aa0-866d-92e63fb9fe40	0ad3b2f4-797f-4021-b0b5-43fd90edc181	b2cc4692-5980-4b7f-946e-bcdc09889a4c	1566d253-6d37-4b64-ab1c-3f7b4b994079
C3N-02333	C3N-02333-02	13ac4ea6-3c25-4b47-a53c-0937e964422e	126389ed-d201-40e5-8fa6-f237ab41501e	21865463-584f-4121-85a4-c651465cda82	0ad96f98-b49e-4aba-8871-8df8b77e6c38
C3N-02782	C3N-02782-01	6700c8a2-9b68-4783-856b-a8f282124aa6	5b6d4687-d9a6-48bf-ad74-6266939268d9	0b7ff6b7-b495-411e-878e-58e2780db0ae	0fd9cf9e-0086-405a-adbb-4250284e606c
C3L-00604	C3L-00604-01	87cff156-904f-4b52-940f-95d0b3e6bbc6	0bbaedb5-5fc0-478e-9fd1-c2018a01e8d7	e0828b63-723b-44f6-a241-ecb73042731f	cd34d318-09fb-4396-8c7c-ad6efd61c3a0
C3N-00437	C3N-00437-01	d5e8c0e3-d67e-42c5-b2b1-eded8e775e4e	0c0cf142-2901-43a3-a744-8cb666f265d9	1ca3eb2c-4255-4cfe-b858-e118b302dd92	f6964265-27dd-424d-869f-8da0362512dc
C3L-00908	C3L-00908-01	b2de6248-2c6c-4324-afcd-30f0b99f27b8	0c477f5a-c29e-48c0-bcda-643b737c47e3	701a4b92-3134-414f-b304-8782ef388a9b	821799cf-1acb-4d7b-a530-7e38fd125312
C3N-00293	C3N-00293-04	104467e9-4e35-4123-ab36-98a03517901f	0cdc6ff2-6651-4d10-8864-fd0d6ba504ac	e01977eb-a025-4cba-ba00-218ec13fdc56	d38d1398-1610-49a7-8f70-1a6c757419c5
C3L-04072	C3L-04072-01	448444e5-2731-487a-bddb-3e0aa1a02155	9edda044-b316-4899-83ac-530c3cd84831	a816b515-688c-472d-936d-73bc22602481	0cf3903e-26de-4a1b-885c-dfd94870965a
C3L-00791	C3L-00791-01	2c3d90ce-2f4d-42bc-baa4-e01052a73b67	d375496c-68f8-4cf3-a19d-974ff6e1b197	4023e72f-e308-448b-807b-f0a1d4c9297a	0cf6539d-70e6-403d-9897-a61ce53ebea4
C3L-01312	C3L-01312-01	2d66bace-ed2d-4351-b8f0-b083495d02ca	d7cb9e96-71d9-4fe0-aeed-81c21865d88d	0d1bf79b-46ba-45d7-9f48-e0b2fa12e3af	f7006165-a5ac-43a4-9475-88f84735b875
C3L-01884	C3L-01884-02	51a6acfb-6470-472e-926e-4e231076e8c9	f15a61a4-f2de-4dd6-a2a5-001ebac35cff	e976d7bc-d7eb-4009-b52a-4a25ab67ed17	0d3a299e-fd5e-42b4-9fed-394664692e05
C3N-02185	C3N-02185-01	99dafaf1-e2d1-4232-aaa9-afdd99d51ee8	0d64714b-6326-4aec-a2cc-10b806750ab2	21d601cb-37b2-41b2-875c-948a047a5a4e	370de8a0-17b5-46db-8e2d-b4476bb1c34c
C3N-04284	C3N-04284-01	3cc32755-c830-455e-abd2-7b39e6b8910c	ab15efce-727c-47d0-b754-1500a377d4e7	0da470e4-a300-40e4-b0eb-9e0c68c77694	d9d6f47f-125c-482e-ab84-d46f6988a75f
C3N-00379	C3N-00379-01	d197888e-b0f9-486d-a62e-46bdfa473387	0da6f045-5760-43c3-a27a-86671898240c	5e4219fe-a784-4436-af13-2eab8ab44d13	cd27b283-d1ab-49bd-b1c0-f29d16bc0be7
C3N-01219	C3N-01219-03	f3a13c85-b725-4910-8f3e-2ac78b7ec3d9	0dcd99e1-c3e3-4039-9572-19bccb85bd5a	24cd8e96-d7a6-4798-9d31-ca3b50749ff7	e8d99efc-2da7-48ed-84db-66cdcfe3c338
C3L-01287	C3L-01287-02	106d67a3-4847-425b-a151-4e92d0e82e69	66c3f4bd-513d-424f-a3b1-fd24a4226088	20d66c8c-49a5-4373-bac1-007af535aee4	0e0ee7dc-35d3-4a42-851a-d64ad025ca62
C3L-00946	C3L-00946-01	c25f4d04-2936-4d5e-8526-d541be3f8701	0e81eb4b-67db-4ed8-9777-afe98701b163	1661f8b7-5ec3-4268-85fb-dfd7cebb167b	9f3e36c7-bb37-4872-bd49-c9a8c69b70e3
